RQ Manager 1.2 RQ Study Results
StudyName	TKKO denervation 2d MyoD MyoG analysed.sdm
Operator	

Well	PlateID	Sample	Detector	Task	Ct	delta Rn	delta Ct	Ct Avg	Ct SD	Avg Delta Ct	delta Ct SD	Endo Ct Avg	Endo Ct SD	delta delta Ct	RQ	RQ Min	RQ Max	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	Instrument	Well Status	Rejected	
26		20 ng standard	18S rRNA	Endogenous Control	11.123374	2.7082512												Automatic			Automatic	0.11422344	279002397			
26		20 ng standard	Myod1	Target	24.136333	3.2254696	13.0129595			12.778356	0.13068642			-0.7003727	1.6249245	0.6612788	3.9928389	Automatic			Automatic	0.19301754	279002397			
27		20 ng standard	18S rRNA	Endogenous Control	11.428501	2.6455145												Automatic			Automatic	0.11422344	279002397			
27		20 ng standard	Myod1	Target	23.989767	3.214681	12.561266			12.778356	0.13068642			-0.7003727	1.6249245	0.6612788	3.9928389	Automatic			Automatic	0.19301754	279002397			
28		20 ng standard	18S rRNA	Endogenous Control	11.28816	2.6843174												Automatic			Automatic	0.11422344	279002397			
28		20 ng standard	Myod1	Target	24.049002	3.201587	12.760841			12.778356	0.13068642			-0.7003727	1.6249245	0.6612788	3.9928389	Automatic			Automatic	0.19301754	279002397			
29		10 ng Standard	18S rRNA	Endogenous Control	11.98226	2.72528												Automatic			Automatic	0.11422344	279002397			
29		10 ng Standard	Myod1	Target	24.881214	3.019769	12.898954			13.014811	0.06584167			-0.46391773	1.3792822	0.8768789	2.169535	Automatic			Automatic	0.19301754	279002397			
30		10 ng Standard	18S rRNA	Endogenous Control	11.807377	2.8190773												Automatic			Automatic	0.11422344	279002397			
30		10 ng Standard	Myod1	Target	24.934322	3.0079231	13.1269455			13.014811	0.06584167			-0.46391773	1.3792822	0.8768789	2.169535	Automatic			Automatic	0.19301754	279002397			
31		10 ng Standard	18S rRNA	Endogenous Control	11.978169	2.72685												Automatic			Automatic	0.11422344	279002397			
31		10 ng Standard	Myod1	Target	24.996702	2.9591987	13.018533			13.014811	0.06584167			-0.46391773	1.3792822	0.8768789	2.169535	Automatic			Automatic	0.19301754	279002397			
32		1ng standard	18S rRNA	Endogenous Control	15.542274	2.7484896												Automatic			Automatic	0.11422344	279002397			
32		1ng standard	Myod1	Target	28.59038	2.3725083	13.048105			13.07956	0.048686933			-0.399168	1.3187472	0.9434107	1.8434116	Automatic			Automatic	0.19301754	279002397			
33		1ng standard	18S rRNA	Endogenous Control	15.670376	2.765414												Automatic			Automatic	0.11422344	279002397			
33		1ng standard	Myod1	Target	28.685856	2.3366442	13.01548			13.07956	0.048686933			-0.399168	1.3187472	0.9434107	1.8434116	Automatic			Automatic	0.19301754	279002397			
34		1ng standard	18S rRNA	Endogenous Control	15.356016	2.7827725												Automatic			Automatic	0.11422344	279002397			
34		1ng standard	Myod1	Target	28.53111	2.3971584	13.175095			13.07956	0.048686933			-0.399168	1.3187472	0.9434107	1.8434116	Automatic			Automatic	0.19301754	279002397			
35		0,1 ng Standard	18S rRNA	Endogenous Control	18.781895	2.6841247												Automatic			Automatic	0.11422344	279002397			
35		0,1 ng Standard	Myod1	Target	31.72518	1.7702881	12.943285			12.992379	0.024741184			-0.4863491	1.4008952	1.181645	1.6608266	Automatic			Automatic	0.19301754	279002397			
36		0,1 ng Standard	18S rRNA	Endogenous Control	18.839329	2.688458												Automatic			Automatic	0.11422344	279002397			
36		0,1 ng Standard	Myod1	Target	31.8509	1.7371602	13.011572			12.992379	0.024741184			-0.4863491	1.4008952	1.181645	1.6608266	Automatic			Automatic	0.19301754	279002397			
37		0,1 ng Standard	18S rRNA	Endogenous Control	18.668419	2.716042												Automatic			Automatic	0.11422344	279002397			
37		0,1 ng Standard	Myod1	Target	31.6907	1.7905561	13.022282			12.992379	0.024741184			-0.4863491	1.4008952	1.181645	1.6608266	Automatic			Automatic	0.19301754	279002397			
38		0,01ng Standard	18S rRNA	Endogenous Control	22.421932	2.580883												Automatic			Automatic	0.11422344	279002397			
