RQ Manager 1.2 RQ Study Results																									
StudyName	denervation study 3 days Murf Atrogin Hdac.sdm																								
Operator																									
																									
Well	PlateID	Sample	Detector	Task	Ct	delta Rn	delta Ct	Ct Avg	Ct SD	Avg Delta Ct	delta Ct SD	Endo Ct Avg	Endo Ct SD	delta delta Ct	RQ	RQ Min	RQ Max	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	Instrument	Well Status	Rejected
26			18S rRNA	Endogenous Control	10.831572	2.7462902												Automatic			Automatic	0.118565686	279002397		
26			Atrogin 1	Target	19.914484	3.8349001	9.082912			9.867867	0.39670935			-2.5973625	6.0517926	0.3950438	92.70918	Automatic			Automatic	0.041863948	279002397		
27			18S rRNA	Endogenous Control	9.760655	3.0014784												Automatic			Automatic	0.118565686	279002397		
27			Atrogin 1	Target	19.920902	3.7362406	10.160247			9.867867	0.39670935			-2.5973625	6.0517926	0.3950438	92.70918	Automatic			Automatic	0.041863948	279002397		
28			18S rRNA	Endogenous Control	9.995519	3.0824907												Automatic			Automatic	0.118565686	279002397		
28			Atrogin 1	Target	20.35596	3.8399704	10.360442			9.867867	0.39670935			-2.5973625	6.0517926	0.3950438	92.70918	Automatic			Automatic	0.041863948	279002397		
29			18S rRNA	Endogenous Control	11.507794	2.6468735												Automatic			Automatic	0.118565686	279002397		
29			Atrogin 1	Target	21.25185	3.766115	9.744056			9.431266	0.221349			-3.0339642	8.190572	1.7864679	37.55201	Automatic			Automatic	0.041863948	279002397		
30			18S rRNA	Endogenous Control	11.954548	2.5318398												Automatic			Automatic	0.118565686	279002397		
30			Atrogin 1	Target	20.95811	3.8545625	9.003563			9.431266	0.221349			-3.0339642	8.190572	1.7864679	37.55201	Automatic			Automatic	0.041863948	279002397		
31			18S rRNA	Endogenous Control	11.731777	2.6718605												Automatic			Automatic	0.118565686	279002397		
31			Atrogin 1	Target	21.277956	3.8514926	9.546179			9.431266	0.221349			-3.0339642	8.190572	1.7864679	37.55201	Automatic			Automatic	0.041863948	279002397		
32			18S rRNA	Endogenous Control	14.856491	2.798903												Automatic			Automatic	0.118565686	279002397		
32			Atrogin 1	Target	24.542053	3.5164595	9.685562			9.655454	0.08998945			-2.8097763	7.0117583	3.7754407	13.022257	Automatic			Automatic	0.041863948	279002397		
33			18S rRNA	Endogenous Control	14.938539	2.773755												Automatic			Automatic	0.118565686	279002397		
33			Atrogin 1	Target	24.425268	3.5544317	9.48673			9.655454	0.08998945			-2.8097763	7.0117583	3.7754407	13.022257	Automatic			Automatic	0.041863948	279002397		
34			18S rRNA	Endogenous Control	14.899822	2.8173277												Automatic			Automatic	0.118565686	279002397		
34			Atrogin 1	Target	24.693892	3.5352256	9.794069			9.655454	0.08998945			-2.8097763	7.0117583	3.7754407	13.022257	Automatic			Automatic	0.041863948	279002397		
35			18S rRNA	Endogenous Control	18.87778	2.5843568												Automatic			Automatic	0.118565686	279002397		
35			Atrogin 1	Target	28.193213	3.0745552	9.315432			9.19246	0.13179465			-3.27277	9.665001	3.9033933	23.931038	Automatic			Automatic	0.041863948	279002397		
36			18S rRNA	Endogenous Control	18.88927	2.6477635												Automatic			Automatic	0.118565686	279002397		
36			Atrogin 1	Target	28.222157	3.1103334	9.332886			9.19246	0.13179465			-3.27277	9.665001	3.9033933	23.931038	Automatic			Automatic	0.041863948	279002397		
37			18S rRNA	Endogenous Control	19.047981	2.5548263												Automatic			Automatic	0.118565686	279002397		
37			Atrogin 1	Target	27.977045	3.0604668	8.929064			9.19246	0.13179465			-3.27277	9.665001	3.9033933	23.931038	Automatic			Automatic	0.041863948	279002397		
38			18S rRNA	Endogenous Control	22.27529	2.5671947												Automatic			Automatic	0.118565686	279002397		
38			Atrogin 1	Target	31.886883	2.3472984	9.611593			9.669227	0.029922452			-2.7960033	6.945138	5.6530433	8.532561	Automatic			Automatic	0.041863948	279002397		
39			18S rRNA	Endogenous Control	22.365936	2.521685												Automatic			Automatic	0.118565686	279002397		
39			Atrogin 1	Target	32.050022	2.3685093	9.684086			9.669227	0.029922452			-2.7960033	6.945138	5.6530433	8.532561	Automatic			Automatic	0.041863948	279002397		
40			18S rRNA	Endogenous Control	22.422134	2.444635												Automatic			Automatic	0.118565686	279002397		
40			Atrogin 1	Target	32.134136	2.3781855	9.712002			9.669227	0.029922452			-2.7960033	6.945138	5.6530433	8.532561	Automatic			Automatic	0.041863948	279002397		
41			18S rRNA	Endogenous Control	11.410929	2.6267257												Automatic			Automatic	0.118565686	279002397		
41			Atrogin 1	Target	23.442877	3.6813254	12.031948			12.46523	0.5526412			0	1	0.022329936	44.782932	Automatic			Automatic	0.041863948	279002397		
42			18S rRNA	Endogenous Control	10.257193	3.0890138												Automatic			Automatic	0.118565686	279002397		
42			Atrogin 1	Target	23.819653	3.7320352	13.56246			12.46523	0.5526412			0	1	0.022329936	44.782932	Automatic			Automatic	0.041863948	279002397		
43			18S rRNA	Endogenous Control	11.765943	2.6364765												Automatic			Automatic	0.118565686	279002397		
43			Atrogin 1	Target	23.567225	3.7002523	11.801282			12.46523	0.5526412			0	1	0.022329936	44.782932	Automatic			Automatic	0.041863948	279002397		
44			18S rRNA	Endogenous Control	11.23627	2.6525173												Automatic			Automatic	0.118565686	279002397		
44			Atrogin 1	Target	23.21214	3.6900506	11.975869			12.479875	0.4442025			0.014644623	0.98990047	0.046607807	21.024437	Automatic			Automatic	0.041863948	279002397		
45			18S rRNA	Endogenous Control	10.97433	2.7532403												Automatic			Automatic	0.118565686	279002397		
45			Atrogin 1	Target	23.07262	3.727989	12.09829			12.479875	0.4442025			0.014644623	0.98990047	0.046607807	21.024437	Automatic			Automatic	0.041863948	279002397		
46			18S rRNA	Endogenous Control	9.89694	3.040566												Automatic			Automatic	0.118565686	279002397		
46			Atrogin 1	Target	23.262403	3.7096262	13.365463			12.479875	0.4442025			0.014644623	0.98990047	0.046607807	21.024437	Automatic			Automatic	0.041863948	279002397		
50			18S rRNA	Endogenous Control	11.180322	2.6782248												Automatic			Automatic	0.118565686	279002397		
50			Atrogin 1	Target	20.94077	3.7694893	9.7604475			9.893466	0.28046724			-2.571764	5.945359	0.86344165	40.93767	Automatic			Automatic	0.041863948	279002397		
51			18S rRNA	Endogenous Control	11.492068	2.5935113												Automatic			Automatic	0.118565686	279002397		
51			Atrogin 1	Target	20.980116	3.674157	9.488048			9.893466	0.28046724			-2.571764	5.945359	0.86344165	40.93767	Automatic			Automatic	0.041863948	279002397		
52			18S rRNA	Endogenous Control	10.692497	2.852966												Automatic			Automatic	0.118565686	279002397		
52			Atrogin 1	Target	21.1244	3.7079086	10.431902			9.893466	0.28046724			-2.571764	5.945359	0.86344165	40.93767	Automatic			Automatic	0.041863948	279002397		
53			18S rRNA	Endogenous Control	11.405208	2.5883455												Automatic			Automatic	0.118565686	279002397		
53			Atrogin 1	Target	20.639156	3.6814997	9.233949			9.125835	0.102402285			-3.3393946	10.121804	5.0039525	20.473999	Automatic			Automatic	0.041863948	279002397		
54			18S rRNA	Endogenous Control	11.66151	2.5177958												Automatic			Automatic	0.118565686	279002397		
54			Atrogin 1	Target	20.58265	3.7455628	8.921139			9.125835	0.102402285			-3.3393946	10.121804	5.0039525	20.473999	Automatic			Automatic	0.041863948	279002397		
55			18S rRNA	Endogenous Control	11.614176	2.505374												Automatic			Automatic	0.118565686	279002397		
55			Atrogin 1	Target	20.836594	3.7844968	9.222418			9.125835	0.102402285			-3.3393946	10.121804	5.0039525	20.473999	Automatic			Automatic	0.041863948	279002397		
56			18S rRNA	Endogenous Control	11.330989	2.767401												Automatic			Automatic	0.118565686	279002397		
56			Atrogin 1	Target	23.487362	3.6028297	12.156373			11.855642	0.19465059			-0.60958767	1.5258231	0.3999	5.821796	Automatic			Automatic	0.041863948	279002397		
57			18S rRNA	Endogenous Control	11.607119	2.741727												Automatic			Automatic	0.118565686	279002397		
57			Atrogin 1	Target	23.098299	3.597675	11.49118			11.855642	0.19465059			-0.60958767	1.5258231	0.3999	5.821796	Automatic			Automatic	0.041863948	279002397		
58			18S rRNA	Endogenous Control	11.47988	2.772039												Automatic			Automatic	0.118565686	279002397		
58			Atrogin 1	Target	23.399254	3.491343	11.9193735			11.855642	0.19465059			-0.60958767	1.5258231	0.3999	5.821796	Automatic			Automatic	0.041863948	279002397		
59			18S rRNA	Endogenous Control	11.887073	2.5656936												Automatic			Automatic	0.118565686	279002397		
59			Atrogin 1	Target	21.630444	3.6654298	9.743371			9.788503	0.30496192			-2.6767273	6.3940377	0.7845994	52.10776	Automatic			Automatic	0.041863948	279002397		
60			18S rRNA	Endogenous Control	12.393847	2.3931189												Automatic			Automatic	0.118565686	279002397		
60			Atrogin 1	Target	21.678154	3.5220785	9.284307			9.788503	0.30496192			-2.6767273	6.3940377	0.7845994	52.10776	Automatic			Automatic	0.041863948	279002397		
61			18S rRNA	Endogenous Control	11.520676	2.6242898												Automatic			Automatic	0.118565686	279002397		
61			Atrogin 1	Target	21.858505	3.640381	10.33783			9.788503	0.30496192			-2.6767273	6.3940377	0.7845994	52.10776	Automatic			Automatic	0.041863948	279002397		
62			18S rRNA	Endogenous Control	12.024605	2.6541715												Automatic			Automatic	0.118565686	279002397		
62			Atrogin 1	Target	25.11961	3.4000802	13.095005			12.927058	0.118659936			0.46182823	0.7260656	0.3209656	1.642454	Automatic			Automatic	0.041863948	279002397		
